,Date,V,H,V1,V2,V3,V4,H1,H2,H3,H4,VF,HF,OUOpen,OUClose,VSpreadOpen,HSpreadOpen,VSpreadClose,HSpreadClose,VMoney,HMoney,OU2H,VSpread2H,HSpread2H
0,2007-10-30,Portland,SanAntonio,26.0,23.0,28.0,20.0,29.0,30.0,22.0,25.0,97.0,106.0,184.0,189.5,12.5,-12.5,13.0,-13.0,900.0,-1400.0,95.0,5.0,-5.0
1,2007-10-30,Utah,GoldenState,28.0,34.0,24.0,31.0,30.0,21.0,21.0,24.0,117.0,96.0,214.5,212.0,3.0,-3.0,1.0,-1.0,100.0,-120.0,105.5,3.0,-3.0
2,2007-10-30,Houston,LALakers,16.0,27.0,27.0,25.0,25.0,18.0,19.0,31.0,95.0,93.0,191.0,199.0,-2.5,2.5,-5.0,5.0,-230.0,190.0,99.0,-3.0,3.0
3,2007-10-31,Philadelphia,Toronto,22.0,28.0,17.0,30.0,24.0,34.0,23.0,25.0,97.0,106.0,190.0,191.0,6.5,-6.5,6.5,-6.5,255.0,-305.0,96.5,2.0,-2.0
4,2007-10-31,Washington,Indiana,23.0,22.0,25.0,33.0,28.0,20.0,22.0,33.0,110.0,119.0,200.0,203.5,1.5,-1.5,-1.5,1.5,-125.0,105.0,105.0,-1.0,1.0
5,2007-10-31,Milwaukee,Orlando,24.0,22.0,16.0,21.0,24.0,24.0,35.0,19.0,83.0,102.0,198.5,197.0,8.0,-8.0,6.5,-6.5,245.0,-295.0,97.0,3.5,-3.5
6,2007-10-31,Chicago,Brooklyn,21.0,20.0,32.0,23.0,25.0,31.0,18.0,22.0,103.0,112.0,188.0,186.0,2.0,-2.0,1.5,-1.5,105.0,-125.0,94.0,-3.0,3.0
7,2007-10-31,Dallas,Cleveland,29.0,25.0,24.0,14.0,15.0,19.0,25.0,15.0,92.0,74.0,186.0,184.0,-3.0,3.0,-2.5,2.5,-140.0,120.0,91.5,4.0,-4.0
8,2007-10-31,SanAntonio,Memphis,23.0,29.0,27.0,25.0,26.0,26.0,30.0,19.0,104.0,101.0,198.0,201.0,-7.0,7.0,-6.5,6.5,-250.0,210.0,99.5,-4.0,4.0
9,2007-10-31,Sacramento,NewOrleans,24.0,18.0,19.0,29.0,29.0,28.0,30.0,17.0,90.0,104.0,193.0,190.5,10.0,-10.0,9.5,-9.5,425.0,-525.0,94.0,1.5,-1.5
10,2007-10-31,Seattle,Denver,31.0,27.0,23.0,22.0,35.0,24.0,27.0,34.0,103.0,120.0,213.0,217.5,10.5,-10.5,11.5,-11.5,625.0,-825.0,107.5,6.5,-6.5
11,2007-11-01,Detroit,Miami,26.0,22.0,18.0,25.0,22.0,20.0,20.0,18.0,91.0,80.0,181.0,178.5,-4.0,4.0,-4.0,4.0,-190.0,160.0,89.5,-0.0,0.0
12,2007-11-01,Houston,Utah,24.0,33.0,21.0,28.0,29.0,20.0,17.0,29.0,106.0,95.0,191.0,193.0,3.5,-3.5,3.0,-3.0,140.0,-160.0,98.5,3.5,-3.5
13,2007-11-01,Phoenix,Seattle,27.0,28.0,24.0,27.0,26.0,32.0,24.0,17.0,106.0,99.0,223.0,224.5,-9.0,9.0,-12.0,12.0,-725.0,575.0,112.5,-9.0,9.0
14,2007-11-02,Milwaukee,Charlotte,18.0,31.0,20.0,30.0,24.0,22.0,25.0,31.0,99.0,102.0,200.0,196.5,2.5,-2.5,4.0,-4.0,150.0,-170.0,96.5,4.0,-4.0
15,2007-11-02,Detroit,Orlando,28.0,36.0,27.0,25.0,30.0,25.0,23.0,14.0,116.0,92.0,184.0,183.5,2.5,-2.5,4.0,-4.0,150.0,-170.0,93.5,4.5,-4.5
16,2007-11-02,Miami,Indiana,22.0,25.0,18.0,20.0,24.0,24.0,20.0,19.0,85.0,87.0,186.5,192.0,6.5,-6.5,6.5,-6.5,235.0,-275.0,96.5,4.0,-4.0
17,2007-11-02,Toronto,Brooklyn,21.0,35.0,24.0,26.0,21.0,20.0,12.0,16.0,106.0,69.0,192.5,193.5,5.0,-5.0,4.0,-4.0,155.0,-175.0,96.0,6.0,-6.0
18,2007-11-02,Dallas,Atlanta,19.0,20.0,30.0,25.0,29.0,17.0,22.0,33.0,94.0,101.0,192.0,191.0,-6.0,6.0,-5.5,5.5,-250.0,210.0,94.5,-5.0,5.0
19,2007-11-02,NewYork,Cleveland,34.0,20.0,26.0,26.0,32.0,23.0,20.0,35.0,106.0,110.0,186.5,186.0,7.5,-7.5,6.0,-6.0,210.0,-250.0,94.0,4.0,-4.0
20,2007-11-02,Washington,Boston,18.0,18.0,21.0,26.0,21.0,37.0,21.0,24.0,83.0,103.0,208.0,205.5,6.0,-6.0,7.5,-7.5,285.0,-335.0,105.0,-2.5,2.5
21,2007-11-02,Portland,NewOrleans,21.0,28.0,15.0,29.0,31.0,26.0,30.0,26.0,93.0,113.0,192.0,203.0,8.0,-8.0,7.5,-7.5,275.0,-325.0,102.5,2.0,-2.0
22,2007-11-02,Denver,Minnesota,21.0,28.0,25.0,25.0,27.0,25.0,25.0,14.0,99.0,91.0,209.0,208.5,-8.5,8.5,-7.5,7.5,-375.0,315.0,104.0,-6.5,6.5
23,2007-11-02,Philadelphia,Chicago,28.0,14.0,29.0,25.0,20.0,21.0,20.0,24.0,96.0,85.0,189.0,190.0,9.5,-9.5,9.5,-9.5,400.0,-500.0,94.0,7.0,-7.0
